id	title	abstract
1	日本新首相的首次出访为何去了越南中国要警惕	日本新首相菅义伟的第一次出访，给了越南。（一）人生的第一次，总有着特殊的含义。政治家的第一次，有时更传递出丰富的信息。日本新首相菅义伟的第一次出访，会奉献给谁？答案，18日傍晚正式揭晓。傍晚6时许，菅义伟的专机抵达越南首都河内。越南方面自然热烈欢迎，身着白色奥黛的越南少女，排成多行，举着日本和越南国旗，在机场欢笑迎接。从菅义伟下飞机的表情看，感觉似乎还不错。我知道，网上有不少人猜测，菅义伟这次出访，针对的就是中国，不然，为什么他首先不去中国，而去了中国的邻国越南？外交是很玄的东西，但菅义伟这次出访，自然绕不开中国的议题，但对他来说，其实也没有太好的选择。第一次奉献给美国，特朗普肯定是热烈欢迎，但掺和美国大选，万一压错宝，就是外交灾难；美国现在的情势，如果染上病，那更不是闹着玩的。所以，美日合作喊得震天响，去美国访问？还是算了吧。欧洲：情况也类似，还是不去为好。印度：情况也类似，还是不去为好。俄罗斯：情况也类似，去了也没啥好处。韩国：正吵着架呢，万万不可能。其他小国：这么厚重的礼，送了不值当。中国：现在轮到中国领导人访日；而且，当下的国际形势，第一次去中国不去美国，美国怎么想？所以，思来想去，第一次除了奉献给东南亚，菅义伟也别无选择。东南亚10国，不少是小国，那就算了。第一个是越南，越南今年是东盟轮值主席国，出访顺理成章。第二个是印尼，印尼是东盟第一经济和人口大国，也是G20国家，日本自然关注。说起来，安倍2012年第2次出任首相后，首访国家也是越南。当时不是不想去美国，是美国没有功夫接待，于是去了越南。但两任首相，都将第一次出访奉献给了越南，也从另一个侧面，说明了日本的外交布局，日本与越南关系在迅速升温。（二）菅义伟的第一次出访，没有去中国，但我们可以说，异样的余光瞄向了中国。因为很简单，中国是一个绕不开的话题。这也从一个侧面，说明中国的分量和影响力。在临行前在机场，菅义伟对记者这样说：东盟国家是我们实现日本一直在推动的“自由开放的印太”的极其重要的合作伙伴。作为印太国家之一，日本致力于为该地区作出贡献，我将明确地向国内外人民传达这一点。请注意，所谓的“自由开放的印太”，是安倍2016年提出的外交战略，核心包括重视印度作用、加强与东南亚的合作等。这其实是在追随美国的亚洲外交，但另一方面，也不用回避，意在经略中国周边，比如加强与印度、东南亚关系，在对华博弈中寻找筹码。所以，日本与越南的合作，不外乎三个层面：第一，经济上的合作。日本是越南的最大政府援助国，也是第二大投资国，第四大商业伙伴。日本希望扶持越南，减少所谓对中国的经济依赖；越南也需要日本的投资和市场，合作也很自然。第二，军事上的合作。就在菅义伟访越前一周，三艘日本军舰在金兰湾停靠和补给。按照媒体报道，日本将向越南出口提高监视能力的巡逻机和雷达，意图也可想而知。第三，其他层面的合作。包括在一些国际热点问题上的相互呼应，这就不多说了。与越南是这样，接下来去印尼，大致也是如此。越南怎么看？越南很小心。一方面，机场盛大欢迎，显示了对日本和菅义伟的高度重视。两任首相的第一次，越南自然心领神会。另一方面，越南外交部也表示，越南希望并欢迎在尊重国际规则、法律及各国正当权益的基础上，各种有助此区域和平、稳定、合作与发展的倡议，确保东盟对正在形成的区域结构发挥核心作用。大家的目的，都很清楚；但选边站队，那就太不外交了，毕竟，中越的贸易量，可不是日越能比的。东亚格局，大国博弈，我东盟还想当头呢。对中国来说，有些合作，我们自然乐观其成；但有些小动作，难免也要小心在意。最后，一些粗浅观察吧，就多说几点吧：1，越南确实在勃兴。按照IMF最新的预测，越南今年GDP增长是1.6%（略低于中国的1.9%）。要知道，今年，全世界一片愁云惨雾，马来西亚GDP预计是-6%，泰国是-7.1%，菲律宾是-8.3%，印尼是-1.5%，新加坡是-6%，印度是-10.3%。越南还是正增长，今年将超过新加坡，排东盟老四，而且后劲还不小。一个同样很勤奋的民族，我们真不能小觑了越南。2，日越自然有小九九。一方面，合作也正常，经济上确实也有互补，放在一个更大范围看，两国还是RCEP的成员。当然，也要看到，当年TPP成立，一定要拉上越南，却对中国说不，美日的意图不挑自明，可惜TPP最后被特朗普废了。现在，日本卖武器给越南，应该也不只是好意。这一点，相信大家都看在眼里。3，大国合纵连横加剧。未来几十年，这块地方，肯定是大国各种合纵连横，美国、中国、日本、俄罗斯，都要自己的利益诉求，东盟夹在其中，努力左右逢源。这是常态，也是必然。当然，谁都不能忽视中国的影响力，用一位东南亚领导人的话说，美国只是最近两百年的霸主，但过去未来1000年，中国都是最强大的邻居。4，我总认为，未来的国际竞争，不仅仅是国与国之间的竞争，更是地区与地区之间的竞争。欧洲有欧盟，北美有美加墨，东亚呢？东盟毕竟体量太小，中日韩应该携手合作，首先加快中日韩自贸区谈判，如果再加上东盟，这才真正创造亚洲人的世纪。我们总体利益应该是一致的。5，从未来看，中国的发展，亚洲的崛起，首先是儒家文化圈的整合。作为该文化圈中的重要国家，中日应该成为朋友，最好也成为朋友，中韩、日韩都是如此，也包括一些东盟国家。这是一个艰难的任务，但高超的大国外交，就是将强敌化为朋友！实现这一点，对中日韩以及东盟的整体国家利益，应该是超越100个诺贝尔和平奖。6，不少西方媒体对菅义伟出访，用了一个形容词：“务实”。务实的菅义伟，应该很清楚当前情势，如果总是随美国起舞，如果甘当马前卒，那就会痛失好局。这就要求日韩要冷静，当然，中方也可多发挥积极作用。世界百年未有之大变局，能否走出新局，考验着菅义伟，考验着东方国家领导人的政治智慧、魄力，还有历史观！7，很有意思的一个细节，这一次菅义伟出访，很多场合没戴口罩，却特意带上了夫人，也显现了日本越南在管控疾病方面远比西方成功，更别提中国了。2020年非常之年，再一次证明，东亚就是东亚，文化背景、应对水平和能力就是不一样；而且，远亲不如近邻，相互帮助很重要。中国要大度，也要警惕，但更要有自信。内修文德，外服友邦，政通人和，最后必然是近悦远来。风云际会，这真是一盘大棋啊。来源：牛弹琴
2	台湾部署能打到上海导弹我军第一时间就能把它轰平	[环球时报记者李强]多家境外媒体近日援引《海峡导报》的文章称，台空军“司令部”将在马祖部署射程达1000公里的“雄风二E”巡航导弹等多种导弹，射程可达广州、福建、上海、南京等东南沿海重要城市及重要军事设施。不过大陆专家表示，台军目前已经在东引岛上部署防空和反舰导弹。但马祖岛弹丸之地，台军的导弹阵地藏无处藏，躲没地方躲，而且距离大陆很近，大陆的火箭弹都能把它轰平，战时根本没有发射导弹的机会。据报道，台湾“政府电子采购网”最新消息，台空军“司令部”将在马祖东引进行“新建统包工程”。未来将进驻新型“天弓三”型地对地导弹（原文如此，为地空导弹）、射程400公里的“雄三”陆攻型导弹及射程达1000公里的“雄风二E”巡航导弹，射程可达广州、福建、上海、南京等东南沿海重要的城市及重要军事设施。报道称，台湾防务安全研究院防务资源与产业研究所所长苏紫云认为，本次增设导弹阵地能够加强“自卫权”，以及对北京的“吓阻作用”，符合“战术反制，战略守势”的原则。苏紫云推测，台湾防务部门公布的阵地，未来有可能部署“雄风”陆攻型或“鱼叉”陆攻型导弹，可扩增台湾的“防御范围”，至少可以延长300公里，借此“压制”大陆东部战区的军机机场，减轻防空负担，“让对岸飞机无法采取协调性行动”。报道称，台军方消息源透露，东引导弹基地可直接攻击解放军东部战区多数的重要军事设施，是台军迄今对解放军“第一击”的重要单位。一位大陆军事专家18日对《环球时报》表示，根据媒体之前报道，台军目前实际上已在东引岛上部署导弹，包括“天弓”中远程防空导弹和“毒刺”近程防空导弹，以及“雄风二”反舰导弹。总体上看，上述导弹以防御为主，而这次计划中部署的导弹更具进攻性。如果只从导弹射程和部署地理位置来看，这些导弹，特别是射程号称达到1000公里的“雄风二E”巡航导弹，能覆盖大陆不少重要城市和军事设施。东引岛距离福州只有100多公里，距离上海只有几百公里。台军的计划，理论上是为了增大导弹对大陆的覆盖范围，在东引部署导弹要比在台湾本岛部署这些导弹前伸一百五六十公里。但由于马祖岛、东引岛面积都很小，台军的导弹阵地藏没地方可藏，导弹部队躲也没地方躲，很容易被侦察定位。这两个岛距离大陆又非常近，距离台湾岛相对又较远，自身部署的兵力有限，一旦有什么冲突，台军根本守不住。而且，由于距离大陆过近，大陆的远程火箭炮如果部署在附近岛屿上完全能覆盖这些阵地，并且可对相关设施进行精确打击。可以说，大陆可以有一百种方式在冲突第一时间击毁这里的任何导弹阵地。
3	解放军抢滩登陆画面曝光台军事专家发觉不妙(图)	解放军抢滩登陆画面曝光，“台军事专家惊觉不妙”。央视日前发布解放军抢滩登陆的影片，据台湾中时新闻网10月18日报道，台军事专家、《全球防卫杂志》采访主任陈国铭称，这部影片释放出一个信息，就是大陆不会再靠人海战术，而是会借由无人机和无人艇等的载具来抢滩作战，以降低伤亡。他说，如果台湾没有及时因应，这是很大的致命伤。台媒报道截图中时新闻网报道称，大陆媒体日前释出歼-15战机在渤海炸射“海岛目标”的影片后，央视军事频道官方微博又于10日晚发布“燃！东南海域多兵种联合登岛演练”的影片，指出一场多兵种联合立体渡海登陆演练已于日前在福建、广东多处海域同步展开，并是首次在夜间凌晨展开登岛突袭军演。这部影片是近年来大陆官方首次如此完整地介绍登岛军演的全部过程。陈国铭在政论节目中说，解放军近来动作，就是针对台湾而来。而大陆建立海军陆战队的目的，就是两栖作战。报道称，陈国铭注意到，这部影片最后，解放军放出搭载小型炸药的无人艇，去催毁守卫军布放的水雷或是地雷，或是滩岸障碍物。他直言，他其实很羡慕大陆有这种新型除雷破障的器具。虽说两栖登陆作战是比较等而下之的攻击方式，但是既然大陆发布这类影片，台湾就必须要急起直追，找出因应之道。陈国铭称，对守卫军来说比较麻烦部分在于，大陆会用这类无人载具来降低伤亡人数。以往的登陆作战就是士兵抢滩，这都会有人命的损伤，但大陆现在先行一步，用无人载具朝向机械化跟无人化前进。陈国铭说，很多人以前都认为大陆只靠人海战术，但现在大陆已经开始用机械化的方式来作战，这目前也是一个世界的趋势。陈国铭提醒，之前美国卖台湾海上卫士无人机，但大陆似乎已研发出相关的无人机来应地。所以大陆在无人机的发展，对台湾来说是很大的致命伤。来源：环球网小尹
4	绿媒：解放军军机在台西南空域双机作业美军机也在	[环球网报道记者尹艳辉]据台湾亲绿媒体《自由时报》10月18日报道，解放军自15日晚间开始，被记录到多次进入台“西南空域”，18日上午9时许再次“侵入”。报道称，与此同时，也记录到有一架美国海军军机在台“西南空域”，空域外则有解放军空警-500监控。报道宣称，根据记录，18日上午9时，解放军军机进入台“西南空域”“防空识别区”，高度3600公尺（米），台空军照例在空警戒、广播“驱离”。该媒体还炒作称，解放军军机10月份“侵扰”台周边空域的次数似乎有明显提升。《自由时报》提到，同一时间，在台“西南空域”也记录到有一架美国海军P-8A“海神”反潜巡逻机，空域外则有解放军空警-500在高度5900公尺监控。报道引述“台湾西南空域”粉丝专页说法，解放军空警-500加上运-8反潜机双机作业已是常态，判断18日进入台“防空识别区”的仍是运-8反潜机。对于解放军军机出现在台海一事，东部战区新闻发言人张春晖空军大校曾就海空兵力战备巡航发表谈话表示，台湾及其附属岛屿是中国领土神圣不可分割的一部分，中国军队战备巡航完全正当合法，是针对当前台海安全形势和维护国家主权需要采取的必要行动。战区部队有决心、有能力挫败一切“台独”分裂活动，坚决捍卫国家主权安全和领土完整，坚决维护台海地区和平稳定。在9月24日国防部例行记者会上，国防部新闻局副局长、国防部新闻发言人谭克非大校表示，台湾是中国不可分割的一部分。解放军在台海地区组织实兵演练，展现的是捍卫国家主权和领土完整的决心和能力，针对的是外部势力干涉和极少数“台独”分裂分子及其分裂活动。台民进党当局置广大台湾同胞的安危福祉于不顾，不断挑动两岸对立对抗，进行“谋独”挑衅，危害台海和平稳定，这一图谋注定不会得逞。如果“台独”分裂势力胆敢以任何名义、任何方式把台湾从中国分裂出去，我们必将不惜一切代价，坚决予以挫败。
5	蔡英文身后出现这个图案网友批：自寻死路愚蠢(图)	台空军“侦搜预警中心”队徽曝光被指针对大陆，网友批：自寻死路、何其愚蠢。台当局领导人蔡英文日前前往新竹乐山雷达站视察，台湾《联合报》18日报道称，台空军“侦搜预警中心”队徽首度曝光，队徽设计显示一只台湾黑熊截击升空的导弹，叠盖在红色的大陆轮廓上，报道称，这显示部队任务针对大陆而来。对此，有岛内网友讽刺，“像是熊受到惊吓的图样！”还有人批评称，“战争不是打游戏，是要流血玩命的。暴虎冯河，自寻死路，何其愚蠢。”报道称，蔡英文日前率“国安”官员、将领前往新竹乐山视导台美合作设置的长程预警雷达，在台“军闻社”与蔡英文办公室发布的影像中，除有长驻当地的美方人员身影外，乐山“空军侦搜预警中心”队徽也首度曝光。队徽中一只台湾黑熊，在象征“铺爪”雷达罩前捕捉导弹，背景是红色的大陆轮廓。此事经台媒报道后，有网友酸讽，“像是熊受到惊吓的图样！”↓也有人批评称，“福祸无门，惟人自召。战争不是打游戏，是要流血玩命的。暴虎冯河，自寻死路，何其愚蠢。”台媒此前报道称，乐山雷达站位于新竹五峰乡，部署了美国“铺爪”远程预警雷达，台湾亲绿媒体《自由时报》称，这是台军重要的侦搜系统之一。蔡英文13日在脸书上也将乐山雷达站称为“台湾空防的眼睛”。她声称，乐山雷达站负责导弹预警工作，只要周边地区发射导弹、火箭，都能第一时间侦测到。对于蔡英文的视察片中出现了美方人员，台空军13日晚称，台空军乐山阵地部署的雷达系统，为台湾通过军售向美国采购的高科技装备，照片内美籍人士为依台湾方面需求，由美国原厂依约派遣的专业技术代表，提供维修服务，以协助系统顺利运作、确保装备妥善。对此，有岛内网友当时感叹：民众的钱就这样被别人一点一滴挖空，也越来越穷，可悲。↓上个月，曾发生过类似的一幕。美国空军罕见动用MQ-9“死神”无人机，在东太平洋与美国海军、海军陆战队等部队一起开展了一场特殊演练，以展示该机作战能力。参与演练的MQ-9无人机部队相关人员还被曝光佩戴了印着疑似中国地图形状红色剪影的臂章，暗示着这支部队将主要针对中国。美国空军协会下的《空军杂志》更是以“着眼于中国，‘死神’无人机演练海上作战”为题报道了这次演习。参加“敏捷死神”演习的美军士兵，佩戴了印着疑似中国地图形状红色剪影的臂章。《环球时报》对此曾发表社评称，军队的日常训练有假想敌，并非很奇怪的事情。但是MQ-9这支部队将中国印到臂章上，并且《空军》杂志将相关图片公布出来，这是极其嚣张的挑衅。文章称，我们必须在此对美方给予严厉警告：动用MQ-9无人机攻击中国南沙岛礁或其他中国目标就是战争行为，解放军一定会奋起反击，让美军付出沉重代价。国台办发言人朱凤莲10月14日曾在例行新闻发布会上表示，坚决反对美国向中国台湾地区出售武器，反对美台之间进行任何形式的军事联系。民进党当局勾结外部势力，“以武谋独”，不过是螳臂当车，只会给台湾民众带来深重灾难。来源：环球网/小尹
6	港媒报道解放军东风17部署东南沿海台防务部门回应	[环球网报道记者尹艳辉]台湾“联合新闻网”10月18日援引《南华早报》的报道称，大陆东南沿海的导弹基地已升级，配备先进的“东风-17”超音速导弹。对此，台防务部门18日又老调重弹，宣称“都有充分掌握，并适切应处。”18日上午，台媒援引《南华早报》10月18日报道称，解放军在东南沿海配备了新款“东风-17”超音速导弹，取代已经在此部署几十年的“东风-11”和“东风-15”等老旧导弹。有台媒称，大陆在东南沿海部署“东风-17”型高超音速导弹“剑指台湾”。此外，台军方也关注了这个消息，并于18日上午回应称，解放军相关兵力部署与军事动态，台军联合情监侦作为，都有充分掌握，并适切应处。在9月24日国防部例行记者会上，国防部新闻局副局长、国防部新闻发言人谭克非大校表示，台湾是中国不可分割的一部分。解放军在台海地区组织实兵演练，展现的是捍卫国家主权和领土完整的决心和能力，针对的是外部势力干涉和极少数“台独”分裂分子及其分裂活动。台民进党当局置广大台湾同胞的安危福祉于不顾，不断挑动两岸对立对抗，进行“谋独”挑衅，危害台海和平稳定，这一图谋注定不会得逞。如果“台独”分裂势力胆敢以任何名义、任何方式把台湾从中国分裂出去，我们必将不惜一切代价，坚决予以挫败。
7	解放军军机又来了台媒：系9月中旬以来第20次	[环球网报道记者尹艳辉]台“空军司令部”10月17日称，解放军1架运-8反潜机17日下午进入台湾西南所谓”防空识别区“（ADIZ），台湾“中央社”称，这是解放军自9月16日以来，第20度“扰台”。台空军17日称，解放军1架运-8反潜机当天下午进入台湾“西南空域”，台空军又老调重弹，声称“派遣空中巡逻兵力应对，也实施广播“驱离”、防空导弹追踪监控。”台湾“中央社”报道称，台防务部门晚间在官网“即时军事动态”专区，发布17日解放军军机动态相关资讯。根据10月公布的路线，除了7日为空警-500预警机，9日为1架运-8、1架运-9外，17日、16日、15日、11日、10日、8日、6日、4日、3日及1日，均为1架运-8反潜机进入台湾西南ADIZ。根据台防务部门9月公布的路线，29日、23日、22日及21日分别有2架次的运-8反潜机进入台湾西南ADIZ；1架运-8反潜机24日进入台湾西南ADIZ；19日共2架轰-6机、12架歼-16机、2架歼-11机，2架歼-10机，以及1架运-8反潜机进入台湾西南及西北空域，并越过所谓“台海中线”。9月18日有2架轰-6机、8架歼-16机、4架歼-11机，以及4架歼-10机共18架军机“扰台”，其中12架逾越海峡中线；16日共2架次运8反潜机侵入台湾西南ADIZ。对于解放军军机出现在台海一事，东部战区新闻发言人张春晖空军大校曾就海空兵力战备巡航发表谈话表示，台湾及其附属岛屿是中国领土神圣不可分割的一部分，中国军队战备巡航完全正当合法，是针对当前台海安全形势和维护国家主权需要采取的必要行动。战区部队有决心、有能力挫败一切“台独”分裂活动，坚决捍卫国家主权安全和领土完整，坚决维护台海地区和平稳定。在9月24日国防部例行记者会上，国防部新闻局副局长、国防部新闻发言人谭克非大校表示，台湾是中国不可分割的一部分。解放军在台海地区组织实兵演练，展现的是捍卫国家主权和领土完整的决心和能力，针对的是外部势力干涉和极少数“台独”分裂分子及其分裂活动。台民进党当局置广大台湾同胞的安危福祉于不顾，不断挑动两岸对立对抗，进行“谋独”挑衅，危害台海和平稳定，这一图谋注定不会得逞。如果“台独”分裂势力胆敢以任何名义、任何方式把台湾从中国分裂出去，我们必将不惜一切代价，坚决予以挫败。
8	美军航母重返南海第二天现身中沙大环礁附近海域	据“南海战略态势感知计划”官方微博消息，10月16日，卫星图像在中沙大环礁东南海域捕捉到美海军“里根”号航母，航向东北。“南海战略态势感知计划”指出，这是“里根”号航母2020年第四次进入南海活动。此前的15日，美海军太平洋舰队发布消息称，“里根”号航母打击群已经重返南海，打击群包括航母“里根”号及其搭载的第5舰载机联队、导弹巡洋舰“安提坦”号、导弹驱逐舰“哈尔西”号和“麦凯恩”号。太平洋舰队称，这是“里根”号今年第三次进入南海部署。美海军太平洋舰队称，“里根”号航母打击群在南海期间，将执行海上安全行动，包括使用固定翼飞机和旋翼机开展飞行行动、进行海上打击演习以及水面和空中部队之间的协调战术训练。打击群致力于“维护美国与地区盟友和合作伙伴达成的安全协议”，并展示前置部署的海军部队对整个地区的任何突发事件做出快速反应的能力。美海军太平洋舰队还表示，到目前为止，“里根”号航母打击群在此次部署周期已经航行了近56000海里。国防部新闻发言人任国强大校曾表示：中国对于南海诸岛及其附近海域拥有无可争辩的主权，这一点有着充分历史和法理依据。当前，在中国和东盟国家的共同努力下，南海局势总体稳定，相关磋商取得积极进展。我们要求美方停止发表错误言论，停止在南海采取军事挑衅行动，停止对地区国家进行挑拨离间。美方在南海“兴风作浪”只会让中方更加坚定地“乘风破浪”，更加坚定地捍卫自己的主权和安全，更加坚定地维护南海的和平稳定。
9	美军高调炫耀航母“重回南海”台媒迅速跟进炒作	美军高调宣布“里根”号航母战斗群“重回南海”，台媒迅速跟进炒作。美国太平洋舰队10月15日高调宣布了“里根”号航母重返南海的消息，台媒捕捉到这一信息后立即进行了跟进炒作。美国太平洋舰队司令部10月15日在其官网上发布消息称，“里根”号航母战斗群目前已经返回南海海域。美国太平洋舰队司令部在其官网上发布“里根”号航母战斗群驶入南海的消息在此之前，“里根”号航母的诡异行动路线已经被中国大陆的智库平台曝光。“南海战略态势感知”计划平台曾在10月13日发布的消息，称“里根”号航母打击群于10月8日从南海经由马六甲海峡进入东印度洋活动，12日却又突然掉头回到南海。美国太平洋舰队15日正式宣布“里根”号进入南海，也是印证了“南海战略态势感知”计划平台此前发布的消息。美国太平洋舰队在消息中称，“里根”号航母战斗群还包括“哈尔西”号、“麦凯恩”号驱逐舰以及“安提坦”号巡洋舰。该航母战斗群正在南海开展所谓的“海上安全行动”，包括固定翼和螺旋桨舰载机的飞行行动、海上打击演习以及海空部队的战术协同演习。“南海战略态势感知”计划平台10月13日发布的美国“里根”号航母航行轨迹图美国太平洋舰队在消息中老调重弹称，“里根”号航母战斗群致力于维护美国与地区盟友、伙伴国之间的安全协议，并展示了美国海军力量对整个地区任何突发事件做出快速反应的能力。实际上，“里根”号航母战斗群的相关舰船近期一直在南海游荡，但美国太平洋舰队如此高调地公布航母战斗群在南海的活动消息的情况并不多见。美国太平洋舰队10月9日发布消息称，10月7日，美国海军的“里根”号航母在南海开展了“大规模伤亡演习”。10月7日，美国海军的阿利伯克级导弹驱逐舰“麦凯恩”号出现在南海，并组织舰员进行重机枪武器操作训练。10月12日，“麦凯恩”号驱逐舰还在南海海域与日本海上自卫队“加贺”号直升机航母、“雷”号驱逐舰开展了联合演练。10月15日，“里根”号航母在南海进行舰载机起降演练。美军发布的航母战斗群在南海活动的消息也迅速引起了台湾方面的关注，并进行了一番炒作报道。台湾“中央社”网站10月16日发布消息称，美国海军展示了对地区安全的承诺，“对任何突发事件都能快速反应”。“中央社”还表示，根据美国军方的消息，“里根”号航母战斗群通过防空、反潜、海上打击、兵力防护等演练，建立高规格的战备状态。中国国务委员兼外长王毅曾在出席第十届东亚峰会外长会时表示，仅上半年，美国就派出近3000架次军机、60余艘次军舰，包括多批次轰炸机和双航母编队，不断在南海炫耀武力，强化军事部署，甚至在与其毫不相干的争议海域横冲直撞，肆意推高地区冲突风险，正在成为南海军事化的最大推手。对于美军近期在中国周边活动频繁等情况，国防部新闻发言人吴谦大校在例行记者会上回应称，近期，美方加大对华挑衅施压力度，对此我们的态度清晰明确：一是反对，二是不怕。美方一些政客在大选前为了一己私利，极力破坏中美两国两军关系，甚至妄图制造意外事件和军事冲突，这种行径置双方一线官兵生命安危于不顾，置两国人民根本利益于不顾，置世界人民和平诉求于不顾，是极不得人心的。中国军队将坚定捍卫国家主权、安全、发展利益，坚定维护世界和地区和平稳定。我们奉劝美方一些政客认清现实，保持理性，停止挑衅，推动两国两军关系回到正确的轨道。
10	日本测试美制MQ-9无人侦察机日媒：与钓鱼岛有关	“守护者”海洋无人侦察机（MQ-9民用版）（图片来自NHK）据日本广播协会电视台（NHK）15日报道，日本海上保安厅从15日开始对美国的“守护者”海洋无人侦察机（MQ-9民用版）进行实证实验，以检验该无人飞机是否能用于海难事故的搜索和监视可疑船只。报道称，当地时间15日上午10点过后，位于青森县的自卫队八户航空基地跑道上出现了长约12米、宽24米的无人机。这架无人机是美国国防企业“通用原子公司”开发的用于海洋调查的“守护者”。报道称，该无人机可以通过地面控制设施对其进行无线操纵，通过照相机对目标进行监视，还可以通过声音对可疑船只进行警告。“守护者”的连续航行时间为35小时，可以绕着日本声称的“专属经济水域”最外侧飞行1圈。“守护者”海洋无人侦察机（MQ-9民用版）（图片来自NHK）日本海上保安厅会将实验持续进行到下个月10日，以验证该无人机是否能用于海难事故的搜索和监视、管制可疑船只。NHK称，考虑引进无人机的背景是，日本周边海域的局势正在变得紧张。鉴于中国公务船反复巡航钓鱼岛海域（日称尖阁诸岛），日本政府在2016年制定了“关于加强海上保安体制的方针”。报道称，截至本月15日，中国公务船在钓鱼岛海域航行的天数达到了265天，比去年同期增加了46天。文章称，使用无人机可以减轻工作人员的负担。海上保安厅从事航空业务的人员大约有1000人，但由于钓鱼岛、能登半岛和“大和堆”周边的警戒任务，以及近年来频繁发生的灾害事件，使得工作人员的业务负担加重。如果使用喷气式飞机，至少需要5人同乘进行警戒，而无人机的话，只需2名工作人员操作就足够了。
